Input,Output
abnon,abanon
abaxon,abanon
nabanon,abanon
abanan,abanon
abacon,abanon
tbanon bare rioxen ocinkin ipon,abanon bari riosen oinkin ixon
ybanon beri iosen oinkon ixonn,abanon bari riosen oinkin ixon
abannon bali ripsen oinkinx inon,abanon bari riosen oinkin ixon
yabanon baki reosen ointin kixon,abanon bari riosen oinkin ixon
abnon baci risosen yoinkin txon,abanon bari riosen oinkin ixon
am c cho x p h y y b jo r t k raabicharibi shenanribikana hki wetsatican nawabamon makinabe pokobotanaikaon inshton wishotikoma aketian si wishoti tsasakan towan at ax ramakajanbi natan anibires akoin nonwishaasi iitsi,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
ma be h x o b h me no bo y ra y ramabichribi shinanribikaba ini wetsabian nawabamon mawinabo pokobotanaibaron ishpon wishatikomo iketican sa wishat tsasakan moan aci i rakakamanbi xaton atisbires akéin nonwishaaw ijtai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
ca i cho u e a ke a no mo i u es amabicharibi shinanribikapa ipi xetsatian nowabaon mabinabo pokobotanaijaon jishton wishatikomo kketian se tishati tsosaan tian asi t samakamanbi xaton atibares axain nonwishamai iitais,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
s n chi w m p m am m c pi j sá ramabichaxribi shinanribikona kki retsatian nawabajon makinaxo pokobotaxnaibaon ishtson wishatikoman ikotian si wishaxti tsisakan toman oti xo ramakamanki naston atimires abain nomwishaai riitai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
i h ca s m u ká j w ro i h y ramapicharibi shinanbibikana isi wetsitian nawasaon makinabos pokobotaaibaon ashton wishatijoma iketiam shi bishati tsosákan totan ali xe ramakámanbi natox etibires bkain nonwishaais iiwai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
abeon paketas rbion on jema pakita naxata riri yon ocomakea keibo mowa tinti,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
abien pabeta abeon nin eman kaketa kamata rini pon ochojakea kaino pawa ominti,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
abijon pakata abikon con jemann caketa namatsa siki nan ochomaka caibo mamwa ointis,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
kbion pakta nabion mon yeman jaketa namats riti nan ochomapea kamibo jawa oxinti,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
abiom pakota asion pon jaman pakema namato riji nin ochonakea kaibos jawa pointi,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
pboaxbira ita aki nares kiin paxpinyoni pitan biniti,aboaxbira ika iki eares kikin paxkinyoni itan piniti
aboasbira iska ski earis xikin paxrinyoni iran pixiti,aboaxbira ika iki eares kikin paxkinyoni itan piniti
aboxaxbira ikax xiki esares kiki naxkinyoni titan pinits,aboaxbira ika iki eares kikin paxkinyoni itan piniti
asoaxbira ipa jki cares kiin paxinyoni jtan pinita,aboaxbira ika iki eares kikin paxkinyoni itan piniti
abokaxbira mka ikix meares kikimn paxxinyoni itam piiti,aboaxbira ika iki eares kikin paxkinyoni itan piniti
abokomas,abokoma
anokoma,abokoma
abonkoma,abokoma
anbokoma,abokoma
abokoba,abokoma
mbokomanra nenax pibi,abokomanra nepax piai
abokobanra nekax piac,abokomanra nepax piai
abokomanba nepox piais,abokomanra nepax piai
rabokomanra nepox piao,abokomanra nepax piai
atokomanra nepam iai,abokomanra nepax piai
