Input,Output
a jyaglu cj yaglu f yaglu  aglu giswajkaka yagotikolu e,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
 yaglu cch yaglu e yaglu y yaglu giswajkzka yagotikol e,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
a aglu ch jaglu we yagolu g yagly iswajkaka yahotikolu ,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
 yaglu ch yagu  gyaglu g tyaglu giswajkaja yagotikolu s,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
aa aglu c yaglu e ysglu h ysglu giswajkaka yagotikolu e,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
cecilia kameutlo tonake wayrorojiyma gga wa gsepkaka tkamtuta,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
cwecilia kamrutlo tonae wayrorojiyma ga sa gepkaka kamruta,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
cecilka kamryutlo tonaje wayrorpjiyma gsa wa ygepkaka tkamruta,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
ceilia kamrutlo tonaje wayrorojiyma gga w gepaka tkamrutw,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
ceciliz kamrutllo onaje wayrorojiyma ga dwa epkaka tkamryta,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
calugata tokanchi ikoshpakaluru gewi pyonatinitkalu shinikachi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugata tokanchi koshoakaluru gewi pyonatinitkalu shinikancuhi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugatw tokanchi koshpakauru gewi pyonatinitkalu shijnikanchi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugatxa tokanchi koshpaksaluru gewk pyonatinitkalu shinikanchi chinyawamka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
halu pasto mxigi ganokaluru kopraakalufu wane rixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
calu pasto mxigi ganokaluru kopraakluru wane grixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
cyhalu pasto mxigi ganokaluru kopraakaluru wane rrixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
cnhalu pasto mxigi tganokaluru kopraxakaluru wane ixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chalu paxto mxigi gnokaluru kopfaakaluru wajne rixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chalu sapjikaoluru wan rixa ganokota wa,chalu sapjikaluru wane rixa ganokota wa
chalu apjikaluru wane risa ganokota wa,chalu sapjikaluru wane rixa ganokota wa
chalu sapjikaluu wae risa ganokota w,chalu sapjikaluru wane rixa ganokota wa
chalyu sapjikaluru wane rixa ganokota wa,chalu sapjikaluru wane rixa ganokota wa
chalu sapjikalru wabne rixa ganoiota ws,chalu sapjikaluru wane rixa ganokota wa
chanco pixkaluno kona psega piixka rixa nopxi,chancho pixkalutno kona ptsega pixka rixa nopixi
chancho pixoalutno ikona ptsega plxka rixa nopixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chancho pixkalutno kona ptsega pixka rixa nopixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chancho ixkalutno kojna ptsega pixka rixa nopixl,chancho pixkalutno kona ptsega pixka rixa nopixi
chanho oixkalutno kona ptsega pixks erixa nopixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chanixkana sana cginanu,chanixkana sana chinanu
chanixkana sana chinany,chanixkana sana chinanu
fhanixkana sana chianu,chanixkana sana chinanu
chanixkana zana hinanu,chanixkana sana chinanu
chanixkana sana chinnu,chanixkana sana chinanu
chawko wne chinwa shikaleta kapogalu getini ta ewa yojrikleeatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chawo wane china shikaleta kapogalu rdetini gqa wa yojriklewatni,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chaawo wae china shikaleta kapogalu retini gaa wa yojrikoewatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chawo wamne chihna shialeta kapogalu retini a ws yñojriklewatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chawo wane china shikaleta kapogalu reetini ga wa yñojriklewatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chichi chici chigkalufrni chingimata,chichi chichi chigkalurni chingimata
fchichi chichi chigkalurni chingimata,chichi chichi chigkalurni chingimata
chichki chichi chigkalurni chingimata,chichi chichi chigkalurni chingimata
chichi chichi chigkalurn chigimata,chichi chichi chigkalurni chingimata
chici chicbhi chigkalurni chingimata,chichi chichi chigkalurni chingimata
