Input,Output
ya yagle ch yamlu se yawlu g yajlu gislajkaka syagotikolu ne,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
wa yatlu ch yiglu ke yamlu g paglu giswakaka yaxgotikolu a,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
ya yaylu ch yarlu xe tyaglu g yagli giswajkaku yagitikolu se,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
o yaglo ch yagu a yatlu g yagku mgiswajkaka yagokikolu re,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
ya yagli ch yaklu we ykaglu g yagku giswajnaka yagotekolu i,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e
yecilia kgamrutlo tkonaje wayrorojimma jga ywa getkaka tkamrukta,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
cewilia kanrutlo tonaxje wayronrojiyma na ka gepkakya tkamrua,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
ceilia tamrutlo tonapje waygorojiyma na mwa repkaka tkamruxa,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
checilia kamrotlo tonpaje wayroprojiyma tga ya gerkaka tkamrutma,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
tecilia kamrutgo tosaje wanrorojiyma ja nwa gepkaxka tkamrula,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta
chalugaca tonanchi koshpamaluru geli pyonatinitkahu shinikancha chinyapwaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
charlugata tokonchi koshpaxaluru xgewi pyonratinitkalu shiniyanchi chinyakwaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugkata tokakchi koshpawkaluru rgewi pronatinitkalu shinikaychi chinyawuka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalugapa tukanchi toshpakaluru gewpi tyonatinitkalu shinikawchi chinyakaka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chelugata tsokanchi koshpakakluru gewni pyonasinitkalu shipnikanchi chinyawagka,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka
chalyu lpasto mwigi gonokaluru kopraakanuru wanu risa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chgalu kpasto mxipgi ganolkaluru kopraukaluru pane rixe,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chanu pasho mxilgi ganokalutu kopraanaluru wale rima,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chacu asto mnigi ganokaluri kopraakalurnu jwane rmixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chwalu pasko mxiyi granokaluru kopraxakaluru wate yrixa,chalu pasto mxigi ganokaluru kopraakaluru wane rixa
chelu sapjikalwuru wakne rixna ganokoya pwa,chalu sapjikaluru wane rixa ganokota wa
chalgu sapjikalyuru sane rixo gaynokota twa,chalu sapjikaluru wane rixa ganokota wa
chpalu sapjikanuru yane rjixa garokota pa,chalu sapjikaluru wane rixa ganokota wa
chayu sapjikamluru sane mixa ganomota ra,chalu sapjikaluru wane rixa ganokota wa
shalu sapjiktaluru jane riga tganokota mwa,chalu sapjikaluru wane rixa ganokota wa
chincho xixkalutno kena psega pjixka rixo sopixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chakcho pigkalutno knona ptsesa wpixka rpixa noprixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chansho pixkalsutno klona ptsuga pixla ripa noprixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chkancho pirkalutno gona ptsema pixla rilxa nopyixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chapcho pixkaletno kola ttsega jixka rtixa notpixi,chancho pixkalutno kona ptsega pixka rixa nopixi
chanixkansa saxna tchinanu,chanixkana sana chinanu
shanixkana nana chinatnu,chanixkana sana chinanu
chanirkana stana chinano,chanixkana sana chinanu
chapixkana gana nchinanu,chanixkana sana chinanu
kchanixkana sala cinanu,chanixkana sana chinanu
pchawo rane crina kshikaleta kxapogalu setini gra wpa yojriklelwatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chato wine chino shikeleta kapoglalu retipi gya mwa yojriklexatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chwawo wajne chinka skikaleta kapogpalu rletini gi nwa yojriklewatyini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chyawo wgane chinsa shikalera kapogwalu gretini ta ra yojriklegatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chawe wase chona shikaeta kalogalu tretini la ga wyojriklewatini,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini
chiychi tchichi chixkalurni chingimajta,chichi chichi chigkalurni chingimata
lchichi hichi chigkulurni chingimatya,chichi chichi chigkalurni chingimata
chechi chichwi chigkalorni chingicata,chichi chichi chigkalurni chingimata
chicha chochi chigkalsurni chingimapta,chichi chichi chigkalurni chingimata
schichi pchichi chnigkalurni chingimatpa,chichi chichi chigkalurni chingimata
chicri gogwakute rumyetka akwalupa wkoshpakinipsu sanikaji lajerujipje trsomitka kamalelji pinitsayma gkonu rupchike wele praka lchinanupa,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa
rchichi gogwaktate rumtetka kakwasupa wkoshpakliniplu ganikalji gajeruljipje tsomitki kamalehi pikitsiyma ponu rukchika ywale psika chinanugpa,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa
chochi ngogwakate numretka kakwalwupa tkoshpakiniplu ganikapi garerujipje tsomjitka kamaletji pinitsniyma ginu rsupchika rwale pripa chipanupa,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa
chischi gopwakate rumreta tkakwalupa wkoshpakiniptu jganikaji tgajerujipje tsomwitka kamapleji pinitsipma golu srupchika wamle pritka chinanupna,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa
crichi gogwakakte rumretpa kakwalupe ykoshpakiniplu ganikaki galerujipje tsoitka kamoleji ponitsiyma gunu rulchika tale prirka chinarupa,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa
mchichikni tkapurutga ychichi talwuka,chichikni tkapuruta chichi taluka
chichisni tkapugruta chwichi jaluka,chichikni tkapuruta chichi taluka
ychichikni tkapunuta crichi taluska,chichikni tkapuruta chichi taluka
chitchikni tkapurunta chicri taluya,chichikni tkapuruta chichi taluka
chikchikni tkayuruta chicha tasluka,chichikni tkapuruta chichi taluka
shichi wkamutlu ch yowga gokanchi gomkagimpachri,chichi wkamrutlu ch yonga tokanchi gomkagimtachri
shichi wkamrutwu ch ronga tyokanchi gomlagimtachri,chichi wkamrutlu ch yonga tokanchi gomkagimtachri
pchichi wkamputlu ch ynonga tokanchri gomkajimtachri,chichi wkamrutlu ch yonga tokanchi gomkagimtachri
chochi wkamruylu ch jonga tokatchi gomkalgimtachri,chichi wkamrutlu ch yonga tokanchi gomkagimtachri
hichi wkamratlu ch yomga tokancha gomkagimtacri,chichi wkamrutlu ch yonga tokanchi gomkagimtachri
chishiyma yoshikpawatya gkamero rixenripa chrichpawa,chichiyma yoshikpawatka kamero rixinripa chichpawa
chiwchiyma yoshikpawanka kameri rixinrisa chichrawa,chichiyma yoshikpawatka kamero rixinripa chichpawa
chechiyma yoshikpawatrka kameyro rixinkipa chichpasa,chichiyma yoshikpawatka kamero rixinripa chichpawa
chichitma yoshispawatka kameo ripxinripa chichwawa,chichiyma yoshikpawatka kamero rixinripa chichpawa
chichpiyma yoshikpawagka kameri rixinrima chnichpawa,chichiyma yoshikpawatka kamero rixinripa chichpawa
chichi chinjimata panikanu pupni wake papatanu chikchi chinkaklurni kchingimata ra tenotyalutu swatu tokenchi,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi
chichri chinpimata panikarru wupji waye xpawatanu tchichi chinkalyurni kchingimata twa tinoyalutu sato toyanchi,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi
wchichni chingitata pantikanru pupju pwale pawataju chiche chpinkalurni chijgimata wla tsenoyalutu saktu tokarchi,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi
lchichni chingimala panianru upji sale pawataxnu schichi chinkacurni chingimatsa we tepoyalutu nsatu topkanchi,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi
chwichni chingikmata panxikanru purji wake tawatanu wchichi chinkolurni chijgimata wla tenoyaylutu lsatu wokanchi,chichni chingimata panikanru pupji wale pawatanu chichi chinkalurni chingimata wa tenoyalutu satu tokanchi
lchiji gapra wtanjitanu wumkatga jirgalenyaplu kwakwalu wuynumsakakranu sgi panko gokne rganjitka wchiji jirgokolupa kakwala,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
ciji galka wanjijtanu wuskata jigaletyaplu kakpalu guynumsakakanu sgi panko gogye rannitka chiju jxirgikolupa kakwamu,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
rchiji gajka gwanjitanu pumkata jirgaleyaplu kajwalu wuynimsakakanu ge papka gonne rwanjitka chipji jirgikolutpa kakwalnu,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
chilji gupka wanjitwanu wumkapta jirgaletyaglu ykakwalu wuynumsakakaru xi pxapko logne rakjitka wchiji jingikolupa kakwolu,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
chiju wapka wanjitagu wumkala jirgalketyaplu kakwatu ywuynumsakakanu ti pako mogne rganjitka chwiji jirgikoluxa kakwali,chiji gapka wanjitanu wumkata jirgaletyaplu kakwalu wuynumsakakanu gi papko gogne ranjitka chiji jirgikolupa kakwalu
chijmi tuna gitspikletna gira peno yalgata,chiji runa gitspikletya gina teno yagata
chigji gruna gitpikletya ginu mteno yagaya,chiji runa gitspikletya gina teno yagata
cheji nuna gitspikletra grina tecno myagata,chiji runa gitspikletya gina teno yagata
chniji puna itspikletya giyna keno yagati,chiji runa gitspikletya gina teno yagata
chijgi ruwna gitpikletya gana tono yagatma,chiji runa gitspikletya gina teno yagata
chinu chawi kapotalu rerini,china chawo kapogalu retini
chisa mchawo kagogalu rerini,china chawo kapogalu retini
chipa chalo kapogatu remtini,china chawo kapogalu retini
chwina chawu kalpogalu netini,china chawo kapogalu retini
schina chawe kapogkalu ryetini,china chawo kapogalu retini
crina chimlu pagijanu retirni,china chiklu pagixanu retini
mchina cheklu pagimanu relini,china chiklu pagixanu retini
2china chiklo pagiyanu rewini,china chiklu pagixanu retini
hina nchiklu pagixkanu retinni,china chiklu pagixanu retini
