Input,Output
abechóñets,abecheñets
ébecheñets,abecheñets
adecheñets,abecheñets
abechañets,abecheñets
abecheññets,abecheñets
o'bellach,a'bellach
a'bellaph,a'bellach
a'gellach,a'bellach
ña'bellach,a'bellach
a'bellath,a'bellach
a'bellare'merr,a'bellare'terr
na'bellare'terr,a'bellare'terr
e'bellare'terr,a'bellare'terr
a'bellabe'terr,a'bellare'terr
a'bella're'terr,a'bellare'terr
a'bellare'merret,a'bellare'terret
a'bellane'terret,a'bellare'terret
a'berllare'terret,a'bellare'terret
a'bellare'gerret,a'bellare'terret
a'xellare'terret,a'bellare'terret
a'bellónet,a'bellenet
a'bellene't,a'bellenet
a'yellenet,a'bellenet
a'bellonet,a'bellenet
a'bellenen,a'bellenet
a'nellerr,a'bellerr
a'bellarr,a'bellerr
ha'bellerr,a'bellerr
a'bollerr,a'bellerr
a'sellerr,a'bellerr
a'bellorretañcha' nerra'm acheñenetshapa' akosherretoñcha' matsato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretapcha' cerra'm hacheñeneshapa' akosherretañcham hasato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellérretañcha' ñerram ocheñeneshapa' takosherretañcha' tasato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerrerañcha' ñerra'mh acheeneshapa' ajosherretañcha' gasato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'lellerretañcha' ñera'm acháñeneshapa' akosherretascha' casato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'mellerretcha,a'bellerretcha
pa'bellerretcha,a'bellerretcha
a'mellerretcha,a'bellerretcha
a'bellerretchat,a'bellerretcha
o'bellerretcha,a'bellerretcha
a'beñnareth,a'benareth
a'bewareth,a'benareth
a'besareth,a'benareth
a'bexareth,a'benareth
a'beareth,a'benareth
a'beneñéts,a'beneñets
ña'beneñets,a'beneñets
a'benerets,a'beneñets
a'bene'ñets,a'beneñets
a'bepeñets,a'beneñets
adeno'tareth,abeno'tareth
'abeno'tareth,abeno'tareth
abeno'mtareth,abeno'tareth
abeno'taret,abeno'tareth
abetno'tareth,abeno'tareth
yabenotateñets,abenotateñets
ébenotateñets,abenotateñets
nabenotateñets,abenotateñets
abeyotateñets,abenotateñets
abenotatekets,abenotateñets
abe'tatsrath,abe'tatsñath
abe'tatsñeth,abe'tatsñath
abe'katsñath,abe'tatsñath
abe'watsñath,abe'tatsñath
abe'tatsñóth,abe'tatsñath
abe'thayeñets womenkokmañon,abe'thateñets womenkokmañen
abe'xhateñets wonenkokmañen,abe'thateñets womenkokmañen
abe'thañeñets wománkokmañen,abe'thateñets womenkokmañen
abe'thatetets womemkokmañen,abe'thateñets womenkokmañen
abe'phateñets wamenkokmañen,abe'thateñets womenkokmañen
gabe'theñ a'mhtateñ esho'tañ lé awe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
rabe'theñ a'mhtateñ 'esho'teñ e xabe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
sabe'theñ a'mhtateñ mesho'teñ yé ake'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'ther a'mhtateñ gesho'teñ e abe'shos,abe'theñ a'mhtateñ esho'teñ él abe'thos
ase'theñ a'mhtateñ eshotteñ á abe'shos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abotheñets,abetheñets
abetheñe'ts,abetheñets
abe'theñets,abetheñets
abethewets,abetheñets
abetheñe'ts,abetheñets
a'rexhoten,a'bexhoten
a'behoten,a'bexhoten
a'bexhaten,a'bexhoten
a'bhexhoten,a'bexhoten
a'bexho'ten,a'bexhoten
abhchanneñets eñe't a'methey atthoch nabe'tatseten cheshanepha' añe'th xhoresten atthoch apxha cheshaneshar a'methenney no' apxha'yesa cheshaesha' atthoch yewpoet pamots,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pañe't a'metthen atthoch narertatseten cheshabesha' pañe't xhore'ben atthoch apxha chetshanesha' a'betheney ho' apxha'yesa cheshadesha' atthoch nenpoet xamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe'ts na'methen atthoch nare'tatserten cheshanésha' aye't xhope'ten atthoch apxha chekhanesha' a'betheney ño' apxha'yesa chechanesha' atthoch yenpoes tamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe'ts a'methek atthoch nayre'tatseten chebhanesha' hañe't xhorekten atthoch apxha cheshaknesha' a'mecheney a' apxha'yesa chesharesha' atthoch yenpoey pamoets,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets tañe't a''ethen atthoch nare'tatsenen cheshanosha' ame't xhoretten atthoch apxha cheshaneshañ a'methenet a' apxha'yesa cheshanemha' atthoch yewpoet parmo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pékte' ramá añe'th a'mechen atthoch nahe'tatseten cheshanesha aña't xhore'te' atthoch apxha cheshacesha' e'metheney ño' apxha'yesa cheshanetha' atthoch yenpo't pamo't,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokteñ íamá yañe't a'metren atthoch nére'tatseten cheshaneshan jañe't xhore'tan atthoch apxha cheshanesha'' na'metheney so' apxha'yesa cheshasnesha' atthoch yerpoet pamots,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pókte' xamá éñe't ra'methen atthoch nare'tatsepten che'shanesha' rañe't xhose'ten atthoch apxha cheshakesha' a'metheñey ho' apxha'yesa chehanesha' atthoch yewpoet papmo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets poete' aá yañe't a'methe atthoch nare'tatseñten cheshabesha' añeñt xhoro'ten atthoch apxha cheshanesha't a'mecheney o apxha'yesa cheshawesha' atthoch yenpoer patmo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
