Input,Output
ahbanon,abanon
abanin,abanon
abanon,abanon
abanon,abanon
banon,abanon
abano bari riosen oinkin uixon,abanon bari riosen oinkin ixon
abanon bati riosen oinnkin ixin,abanon bari riosen oinkin ixon
abwnon bari riozsen oinkln ixon,abanon bari riosen oinkin ixon
abanohn bai riosen oinkin ixo,abanon bari riosen oinkin ixon
abanon bbari iosen oinkin ixon,abanon bari riosen oinkin ixon
a b ch e w j k km n ko p  s ramabicharii shinanrlbikana iki wetsatin nawabaon kakinabo ñokobotanaibaon ishton wishtikoma uketian sh aishati tsosakan toan ai zx ramakamanbi naton atibirea akain nonwisaai iitzi,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
 b cg ee q m j m n o  r s ramabicharkibi shianribikana ikki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sj wishati tsosakan foan agti x ranakamanbi hnaton tibires zkain nonwishaai itai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
qa b vch e d j k m n o p  s ramabicharibi shinanribikana ki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikonma ietian sh wishati tsosakan toan afi  ramakamanbi naton atibirses akxain nonwishaa iitqai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
 gb ch  w j k m n  p r s ramavbicharibi shinanribikana jki wetsatia nawabaon makinabo pokobotanauibaon ishtln wishatikoma iketian sh wishatji tsosakan oan ati  ramakamani nahton xatibires akin nonwishaai iitai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
z b ch e q mj   bn l p r  ramabicharibi shinanrbikana iki wetstian nawabaon makinzabo pokobotanaibaon ishton wishatikoma iketian h wishati tsosakan toan atji x ramakaamanbi naton atibires aain nnwishaai itai,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai
aion paketa abion nojn jeman paketa namata riki non ocomakea kabo mawa inti,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi
