,sentence,error_0,error_1,error_2,error_3,error_4
0,a yaglu ch yaglu e yaglu g yaglu giswajkaka yagotikolu e,qa yalu chh yagplu e taglu g yaglu gswajkaka yagotikolu we,qa yaglu cb yaglu e yaglu fg yabglu giswajkakw yagotikolu e,sa yalu dh yagu e yglu  tyaglu giswajkaka yagotikolh r,a yaglu c yaglu de yalu g yaglu giswajkaka yagotikolu re,a yaglu ch yaglu e yagolu g yaglu gswajkaka yagotikoolu e
1,cecilia kamrutlo tonaje wayrorojiyma ga wa gepkaka tkamruta,ceclia kamrtlo tnaje wahrorojiyma ga sa gepkaka tkamruta,cecilia kamrutlo tonajee wayrorojiya gqa wa gepkaka tkwamruta,ceciia kamrutlo tonaje wayrorojiyma a w gepkaka tkameuta,cecilia kamerutlo tonaie wayrorojiyma ga wxa gepkaka tkxmruta,cecili kamrutlo tonaje wayrorojiyma ga wza gepkaka tamruta
2,chalugata tokanchi koshpakaluru gewi pyonatinitkalu shinikanchi chinyawaka,chalugata tokanchi koshpakaluru gewi pyonatinnitkalu shinikanchi chibnyawaka,chalubata tokanchi koxhpakaluru gewi pyonatinitkalu shinikancbhi chinyawaka,chaluata tokanchi koshpqakaluru gewi pyonatinitkalu shinikanchi chinyawaka,chalugafa tokanchi koshpakaluru gedi pyonatinitkalu shinikandchi chinyawaka,chalugata okanchi koshpakaluru ewi pyonatinitkalu sinikanchi chinyawaka
3,chalu pasto mxigi ganokaluru kopraakaluru wane rixa,chau pasto mxigi ganokalueru kopraakaluru wanse rixza,chalu lasto mxigi gxanokaluru kkopraakaluru wane rixa,chalu asto migi anokaluru kopraakaluru wane risxa,chaluu pasto mxigi gaokaluru kopraakaluru wanr ruixa,chalu pasto mxigi ganokaluru kopraakaluru wane ixa
4,chalu sapjikaluru wane rixa ganokota wa,chalu sapjuikaluru wqne rixa ganokota swa,chalu sapjikaluru ane erixa ganokota a,chalu sapjikaluru wqane roxa ganokota wa,cyhalu sapjikaluru wane rixa ganokpota wa,chalu spjikaluru wane rixa ganokota w
5,chancho pixkalutno kona ptsega pixka rixa nopixi,chzncho pixkalutno kkona ptsegz pixkza rica nopixi,chanccho pixkalutno mona otsega pixka rixa nopixxi,chancjo pixkalutno kona ptsega opixka rixa nopixi,chancho pixkalutno kkna ptsega pixk rixq nopii,fhancho pixkalutno mkona pptsega pixka rixa npixi
6,chanixkana sana chinanu,chanixkan sana cchinanu,chanixkana sana cjhinanu,chahnixkana sana hinanu,chanixkana saha chinanu,chanixkwana sana chinanu
7,chawo wane china shikaleta kapogalu retini ga wa yojriklewatini,chawo wabne china shukaleta kapogallu retini yga wwa yojrikleaatini,chawo wane china shikaleta kapogalu retii ga wa yojriklewatini,chawo wane china shikaleta kapogalu retimi g wa yojriklewatini,chawo wane chimna shikaleta kpogalu retini ga wa yojriklewatini,chawo wanre chlina shikaleta kapotgalu etini ga wa yohjriklewatini
8,chichi chichi chigkalurni chingimata,chichi chichi chigkalurni chingimata,chichi cuichi chigkalurbni chinginata,chichi chichi chigkalurni chingimata,chochi chichi chigkalurnki chigimata,chichi chichi chligkalurni chingimata
9,chichi gogwakate rumretka kakwalupa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji pinitsiyma gonu rupchika wale prika chinanupa,chichi gogwakat rumretka kakwalupa wkoshpakiniplu yganikaji gajerujipje tsomitka kamaleji pinitsiyma fgonu rupchika wale prila chinanupa,chicbi gogwakagte rumretka kakwalupaa wkoshpakiniplu ganikaji gajerujipje tsomitka kamaleji piitsiyma gonu rupchika wale priika chibanupa,hichi gogwakate rumretksa kakwalupa wkoshpakiniplu ganikaji gzjerujipje tsomitka kamaleji pinitsiyma gonu rupxchika wale prika cjhinanupa,chichi gogwakatd ruretka kawalupa skoshpakiniplu ganikai gajerujipje tdsomitka kamalji pinitsiyma onu rupchika ale prika chinanuoa,chicbi gogwakate rumretk kakwalupa wkoshpainiplu ganikaji gajerujipje ttsomitka kamaleji pinitsiyma onu ruupchika wale prika chinanupa
