Input,Output
abecheñets,abecheñets
abeceñets,abecheñets
abecheñets,abecheñets
abecheñets,abecheñets
abeccheñets,abecheñets
a'bellach,a'bellach
a'bellah,a'bellach
a'bellach,a'bellach
a'bellach,a'bellach
a'bellch,a'bellach
a'bellare'terr,a'bellare'terr
a'bellare'tferr,a'bellare'terr
x'bellare'terr,a'bellare'terr
a'bellare'terrr,a'bellare'terr
a'bellare'terr,a'bellare'terr
a'bellare'tetret,a'bellare'terret
a'bellare'terfret,a'bellare'terret
a'bellare'terrt,a'bellare'terret
a'bellare'terret,a'bellare'terret
a'bellare'terret,a'bellare'terret
a'bellenet,a'bellenet
a'bellenet,a'bellenet
a'gellenet,a'bellenet
a'bellenet,a'bellenet
a'bellenet,a'bellenet
a'bellerr,a'bellerr
a'bellertr,a'bellerr
a'bellerr,a'bellerr
a'brellerr,a'bellerr
a'belledrr,a'bellerr
a'bllerretañcha' ñerra'm acheñeneshapa' akoshereretañcha' masayo,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretañcha' ñrra'm achñeneshapa' akosherretañcha' masatño,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'belerretañcha' ñerra'm acheñeneqshapa' akosherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerrtañcha' ñerra'jm acheñeneshapa' akosherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretha,a'bellerretcha
a'bellerretcha,a'bellerretcha
a'bellerrercha,a'bellerretcha
a'bellerdetcha,a'bellerretcha
a'bellerretha,a'bellerretcha
a'benaret,a'benareth
a'benareth,a'benareth
a'behnareth,a'benareth
a'benareth,a'benareth
a'benaretyh,a'benareth
a'beneñeta,a'beneñets
a'beneñets,a'beneñets
a'beneñets,a'beneñets
a'beneñdts,a'beneñets
a'beneñets,a'beneñets
abeno'taeth,abeno'tareth
abeno'tareth,abeno'tareth
abeno'tareth,abeno'tareth
abeno'tzreth,abeno'tareth
zbeno'tareth,abeno'tareth
abenortateñets,abenotateñets
abenotateñets,abenotateñets
abenotateñets,abenotateñets
abenotateñets,abenotateñets
abenotateñets,abenotateñets
abe'tatsñath,abe'tatsñath
xbe'tatsñath,abe'tatsñath
abe'tatsñath,abe'tatsñath
abe'tatsñath,abe'tatsñath
abe'tatsñath,abe'tatsñath
ab'thateñets womenkokmañdn,abe'thateñets womenkokmañen
be'thateñets womenkokmañen,abe'thateñets womenkokmañen
abe'thateñets womenkokmañen,abe'thateñets womenkokmañen
abe'thateñets womekokmañen,abe'thateñets womenkokmañen
abe'fhateñets womenkokmañen,abe'thateñets womenkokmañen
abe'theñ a'mhtaheñ esho'teñ él abe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'theñ a'mhtaeñ esho'teñ él abe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
xabe'theñ a'mhtateñ esho'teñ él abe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'theñ a'jhtateñ sho'teñ él abe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'theñ a'mtateñ esho'teñ él age'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abetheñehs,abetheñets
abeteñets,abetheñets
abetheñets,abetheñets
abetheñets,abetheñets
abetheñets,abetheñets
a'bexhoten,a'bexhoten
a'bexhotn,a'bexhoten
a'bexhoten,a'bexhoten
a'bexhoten,a'bexhoten
a'bexhoten,a'bexhoten
abhchanheñets añe't a'methen attthoch nare'tatseten cheshaneha' añe'gt hore'ten atthoch apxba cheshanesha' a'methenehy k'ch apxya'yesa fheshanesha' atthoch uyenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñetx añe't a'methe atthoxch nare'tateten cheshnesha' añr't xhore'ten atthioch apsxha cheshanesha' s'metheney o'ch apxha'yesa cheshanesha' atthkoch yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe'g a'methen atthñoch nare'tatseten cheshanesha' añe't xhore'ten atthoc apxha chehanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpodet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchqanneñets añfe't a'methen atthoch nare'tatseten cheshxnesha' añe'r hore'ten atthoch apxha cheshanesha' a'ketheney l'ch apxha'yesa cheqshanesha' atthoch yenpoet panmo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe't a'methehn attuoch nare'tatseten cheshanesha' añe't hore'ten atthoch pxha cheshsanesha' a'metheney o'ch apxha'yesa cheshanesha' atthofch yfnpoet pamo's,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' anmá añe't a'methen atyhoch nare'tqatseten cheshanesha' añe't xhore'tsn atthoh apxha cheshwnesha' a'metheney o'cnh apxha'yedsa ceshanesha' atthoch yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
