sentence,error_0,error_1,error_2,error_3,error_4
abecheñets,abecheñets,ahbecheñets,abecyeñets,becheñets,abecheñets
a'bellach,a'bellach,a'bellacu,a'bellch,a'belach,a'bellach
a'bellare'terr,a'bellae'terr,a'bellare'terr,a'bellare'terr,a'bellare'terr,a'bellare'terr
a'bellare'terret,a'bellare'terret,a'bellare'terret,a'bellae'terret,a'bellare'twerret,a'bellare'terret
a'bellenet,a'bellenet,a'bellenet,a'bellenet,a'bellenet,a'bellenet
a'bellerr,a'bellerr,a'beplerr,a'belleerr,a'vellerr,a'bellerr
a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato,a'bellerretañcha' ñerra'm acheñenehapa' akosherretañcha' masafo,a'belerretañcha' ñera'm acheñeneshapa' akoherretañcha' masato,a'bellerretañha' ñerra'm acheñeeshapa' akosherretañcha' masagto,a'bellerretañcha' ñetra'm acheñeneshapa' akoshrretañcha' nasato,a'bellergetañcha' ñerra'km acheñeneshapa' akosherretañcha' masato
a'bellerretcha,a'bellerrecha,a'ellerretcha,a'bllerretcha,a'bellerretcha,a'bellefretcha
a'benareth,a'benareth,a'benareth,a'benareth,a'beareth,a'behnareth
a'beneñets,a'beeñets,a'beneñets,a'beneñets,a'beneñets,a'beneñets
abeno'tareth,abeno'tareth,abeno'tareth,abeno'tareth,abeno'tareth,abenk'tareth
abenotateñets,abenotayteñets,abenotateets,abenotateñets,abenottateñets,abehotateñets
abe'tatsñath,abe'tatsññath,ahe'tatsñath,abe'tatsñath,abe'tattsñath,abe'tatsñahh
abe'thateñets womenkokmañen,ae'thateñets womenkokmañen,abe'thateñetzs womenkokmañen,abe'tyateñets womenokmañen,abe'thateñets womenkokmañen,ab'thateñets womemnkokmañen
abe'theñ a'mhtateñ esho'teñ él abe'thos,abe'theñ a'mhtateñ esh'teñ é abe'thos,abe'theñ a'mhtsteñ esho'teñ é abe'thos,abe'theñ a'mhtatep esho'teñ épl ab'thos,abe'theñ a'mhrateñ esho'teñ épl abse'thos,abe'theñ a'mutateñ esho'tseñ él ave'thos
abetheñets,wbetheñets,abbetheñets,abetheñets,xabetheñets,abetheñets
a'bexhoten,a'bexhoten,a'bexhoten,a'bexhhoten,a'bdxhoten,a'bexhoten
abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets añe't a'mthen atthoch nare'tatseten chewhanesha' añe't xhkre'ten atthoch apxh cheshanesha' a'metheney o'fch apxha'yesa chesganesha' atthocgh yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'atseten cheshanesha' ae't xhore'ten attoch apxha cheshanesha' a'metheney io'ch apxha'ysesa cheshanesha' atthoch yenoet pamlo'ts,abhchhanneñets añe't a'methen atthoch nare'tatsdten cheshanesha' añe'yt xhore'ten atthoch axha cheshanesnha' a'metheney o'ch aoxha'yesa heshanesha' atthoch yenpoet pamo'ts,abhchsanneñets alñe't a'methen atthch nare'tatseten cheshanesha' añe't xhore'ten atthoch apzha cheshamnesha' a'metheny o'ch apxa'yesa cheshanesha' zatthoch yenpoet pam'ts,abhchannfeñets añe't a'meethen atythoch nare'tatseten cheshanesha' añe't xhore'tn atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abchanneñets pokte' amá añe't 'methen atthoc nare'tatseten cheshanwesha' añe't xhore'ten attuoch apdxha cheshsanesha' a'metheney 'ch pxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchannwñets plokte' amá añe't a'methen atthoh nare'tatseten cheshanesh' añe't xnhore'ten atthoc xpxha xheshanesha' a'methenwy o'ch apxha'yesa heshanesha' stthoch yrenpoet pamo'ts,abhchanneñets pookte' amá añe'g a'mfthen atfhoch nare'tatseten cheshanesha' añe't xhore'ten attoch apxhw cheshanesha' a'metheney o'ch apxha'yesa chdeshanesha' ztthoch yenloet pamo'ts,abhchanneñets pokte' amá añe'g a'methen atthoch nare'tatseten cheshanesja' ape't xhore'rten atthoch wpxha cheshanesa' a'etheney o'cch apxhaa'yesa cheshanesha' atthoch yenppoet pamo'ts,abhchahnneñets okte' aná añe't a'methen atthoch nare'tatseten cheshanesha' añe'gt xhore'ten atythoch axha heshanesha' a'metheney o'ch apxha'yesa cheshaesha' atthoch yenpot pamo'ts
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't,wabhchanneñets sr'tsotsa seso'cheñ pa'hllerrmo somñe' qll wse'sechateñ yexateñets yéare'ten narmetsoxno yz'mro phokwa' atma'nátareth allothpa' 'ch yeserrpare',abhchannrñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhatepñets yénare'ten narmetsoxhno ya'mro phokwa' atma'bntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' apl se'sechteñ yexhateñsets yénar'ten narmesoxhno ya'mro hokwa' atma'ntátareth aollothpa' o'cjh yserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechteñ yexhateñets yénaree'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allthpa' o'h yeserrpare't,abhchanneñets se'tsñtsa eso'cheñ pa'phllerrmo somñe' alp se'zechateñ yexhateñets yénare'ten naretsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchateñetspa' échenan kanxherr potaker,abhchateñetspa' échenan kanxherr potaker,abhcateñetspa' éfchenan kanxherr potakef,abhchateñetspa' échwnan kanxherr potaker,abhchateñetspa' échenan kanxherr potaker,abhchateñetspa' échena kxanxherr pitaker
