Input,Output
abecheñech,abecheñets
abexheñets,abecheñets
a'beyach,a'bellach
a'bellaxh,a'bellach
a'bellarre'trrrrr,a'bellare'terr
a'bellare'ter,a'bellare'terr
a'beyare'terr,a'bellare'terr
a'bellarre'trrrrret,a'bellare'terret
a'bellare'teret,a'bellare'terret
a'beyare'terret,a'bellare'terret
a'beyenet,a'bellenet
a'bellerrrr,a'bellerr
a'beller,a'bellerr
a'beyerr,a'bellerr
a'bellerretañcha' ñerra'm acheñeneshapa' akusherretañcha' masatu,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretañcha' ñerra'm acheñeneshapa' aquosherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerrrretañcha' rrrerra'm acheñeneshapa' akrrrsherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'belleretañcha' ñerr'm acheñeneshapa' akosherrrañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'beyerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerretañxha' ñerra'm axheñeneshapa' akosherretañxha' masato,a'bellerretañcha' ñerra'm acheñeneshapa' akosherretañcha' masato
a'bellerrrretcha,a'bellerretcha
a'belleretcha,a'bellerretcha
a'beyerretcha,a'bellerretcha
a'bellerretxha,a'bellerretcha
a'benarech,a'benareth
a'benarreth,a'benareth
a'beneñech,a'beneñets
abenu'tareth,abeno'tareth
abeno'tarech,abeno'tareth
abeno'tarreth,abeno'tareth
abenutateñets,abenotateñets
abenotateñech,abenotateñets
abe'tatsñat,abe'tatsñath
abe'tachñath,abe'tatsñath
abe'thateñets wumenkukmañen,abe'thateñets womenkokmañen
abe'thateñets womenququkmañen,abe'thateñets womenkokmañen
abe'tateñets womenkokmañen,abe'thateñets womenkokmañen
abe'thateñets huomenkokmañen,abe'thateñets womenkokmañen
abe'thateñech womenkokmañen,abe'thateñets womenkokmañen
abe'theñ a'mhtateñ eshu'teñ él abe'thus,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'teñ a'mhtateñ esho'teñ él abe'tts,abe'theñ a'mhtateñ esho'teñ él abe'thos
abe'theñ a'mtateñ esho'teñ él abe'thos,abe'theñ a'mhtateñ esho'teñ él abe'thos
abeteñets,abetheñets
abetheñech,abetheñets
a'bexhuten,a'bexhoten
a'bechoten,a'bexhoten
abhchanneñets añe't a'methen atthuch nare'tatseten cheshanesha' añe't xhure'ten atthuch apxha cheshanesha' a'metheney u'ch apxha'yesa cheshanesha' atthuch yenpuet pamu'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe't a'mechen atchoch nare'tatseten cheshanesha' añe't xhore'ten atchoch apxha cheshanesha' a'mecheney o'ch apxha'yesa cheshanesha' atchoch yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe't a'methen atthoch narre'tatseten cheshanesha' añe't xhrrre'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abechanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'methenell o'ch apxhallyesa cheshanesha' atthocll yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñech añe't a'methen atthoch nare'tacheten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ch,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhxhanneñets añe't a'methen atthoxh nare'tatseten xheshanesha' añe't xhore'ten atthoxh apxha xheshanesha' a'metheney o'xh apxha'yesa xheshanesha' atthoxh yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't chore'ten atthoch apcha cheshanesha' a'metheney o'ch apcha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pukte' amá añe't a'methen atthuch nare'tatseten cheshanesha' añe't xhure'ten atthuch apxha cheshanesha' a'metheney u'ch apxha'yesa cheshanesha' atthuch yenpuet pamu'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets poqute' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' amá añe't a'meten atttch nare'tatseten cheshanesha' añe't xhore'ten atthth apxha cheshanesha' a'methety o'ch apxha'yesa cheshanesha' atthoctyenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' amá añe't a'methen atthoch narre'tatseten cheshanesha' añe't xhrrre'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abechanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'methenell o'ch apxhallyesa cheshanesha' atthocll yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
