,sentence,error_0,error_1,error_2,error_3,error_4
0,aabintiro kantashiyetachari mantsiyarentsipe irashi shirampari okimetatya katsitsinetaantsi aisati airorika okantaje itsintaje,aabintiro kantashiyetachari mantsiyarentsippe irasi shirampari okimetatya katsitsinetaantsi aisaati airorika okantaj itsintaje,aabintiro kantashiyetachari mantsiyarentsipe irqashi shrampari okimetatya katsitsineftaantsi aisati airorika okqantaje itsintaje,aabinhtiro kantashiyetachari mantsiyarentsipe rashi shirampari okimetatya katsitsinetaantsu aieati auirorika okantaje itsintaje,aabintiro kantashiyetachari kmantsiyarentsipe irashi shiampari okumetatya katsitsinfetaantsi aizati airorika lokantaje itsitaje,aabintiro kantashiyetachari mantsiyarentsipfe irashi shirampari okimetatya katsitinetaantsi aisati airorima okantaje itsintaje
1,aabintiro kantashiyetachari pirotsipaye shitobatsiri ameshinaki,aabintitro kantashiydtachari pirotipaye shitobatsiri ameshinaki,aabntiro kantashiyetschari pirotsipaye shitobatsiri ammeshinaki,aabintiroo kantashiyetachari pirotskpaye shitobagsiri ameshinaki,aabintiro kantahiyetachari pirotsipaye shitogatsiri ameshinaiki,aabintiro kantashiyetachari pirotsipaye shitobatsiri ameshiaki
2,aabintiro pashinipaye mantsiyarentsi kemitachari kempetachari kamantsi kaintantsi kajentantsi ankatsiterika abatsa anchekiarika antsekakerika oshitobikari osokijakeri irajani,aabintiro pashinipye mantsiyarentsi krmitachari kempetachari kmantsi aintantsi kjentantsi ankatdsiterika anatsa anxhekiarika antsekakerika osjitobikari osokijakeri irajni,aabintiro paxshinipaye mantsiyaremtsi kemitachari kempetacbhari kamantsi kaintsntsi kajentants ankatsiterika abatqa wnchekiarika antsekakerika oshitobikari osikijakeri irajani,abintiro pashnipaye mantsiyarentsi kemitachari kempetachari kamantsk kaintantsi kajentantski wankatsiterika abzatsa anchekoarika antsekakerika oshitobikari osokijakeri irajani,aabintiro pashiniaye mantsiyarentsi kemitachari kempetachari kamantzsi kaintqantsi kajentantai ankatsiterika wbatsa anchekiarika angtsekakerika oshitñbikari osokijakri irajani,waabintiro pashinipaye mantsiyarentsi kemiyachari kempetachari kamantsi kaintantsi kajentantsi ankatsiterika batsa anchekiarika antsekakerika oshitobikari osokijakeri irajan
3,aajero tsikamentotsi iramaityaro abintarontsi tontoricheki,aajero tsikamentotsi iramaityaro abintarontsi tontoricheki,aajero tsikamentotsi iramaityaro abintarontsi totoricheki,aajero tsikamentotdi iraaityaro abintaromntsi tontoriheki,aajero tsikamentotsji iramaityaro abintarontsi tontoricheku,aajerk tsikamentotsi iramaityaro abintarontsi tontoricheki
4,aajoshi pichainchari jero shiboya totapetokitainchari,aajoshi pichainchari jsero shiboyx totapetokiainchari,aajoshi pivchainchari jero shiboya totapetokitainchari,aajoshi plchainchari jero shiboya totapetokitainchar,aajosyhi pichainchari jero shiboya totapetokihainchari,aajoshi pichainchari jero shibiya totapetokitainchari
5,aake koni kochara shinkipatsa tononkainchari abimaintyaro shinkipanaki aitya ibatsa jero aajoshi kotsitainchari,aak koni kochara shinkilatsa tononkainchari abimajntyaro shinkipanaki aitya ibatsa jero aajosh kotsitainchari,aake koi kochara sshinkipatsa tonohkainchari abimaintyaro shinkipanaki xaitya ibatsa jero aajoshi jotsitainchari,aake konj kocharza shinkipatsa toonkainchari abimainrtyaro shinmkipanaki aiya ibtsa jro aajoshi kotsitainchari,aake koni kocharw shinkipatsa tononkainchari abimaintyaro shinikipanaki aitya ibatsa jeo aajoshl kotsitainchari,aakf koni kochafra shinokipatsa tononkainchari abimaintyaro shinkipnaki aitya ibatsa jro aajlshi kotsitainchari
6,aakero ibatsi akitenkayetityaro atibitityari irosati arobantakiari,aakero ibatsi akitfenkayetityaro atibitityari irossti arobantakiari,aakero ibatsi akitenkayetityaro atibitityark irosai arobantakiari,xaakero kibatsi akitenkayetityaro atibititjari irosati arobanhtakiari,azkero ibsatsi akitenkayetityaro atibitityar irosati arobantakiari,aakero ibatsi akitenkayetityaro atibitityarii irosati arobantakiarli
7,aakero otaki akisheityaro obitsire apicheityaro akibityaro impoiji akotsitityaro,aakero otaki akisheityao obigtsire apicheityaro akibityaro impoiji akotsitityro,aakero otaki akisheityar obitsire apicheityaro akibityaro umpoiji akotsitityaro,aakero otaki akisheityaro obitsire apicheityaaro aibityaro imloiji akotsitithyaro,aakero oaki aisheityaro obitsire apicheityaro akibityaaro impoiji akotsitityaro,qaakero otaki akisheirtyaro obitxire apifheityaro akibityaro impioiji akltsitityaro
8,aakiro aakero oshinkiro pasaro kitaitakotake maamanaje irojati irosati yareetantapaaka nabireri abireri iñaapakiro onaria aakiro oshinkiro isampitiri isari aroshi ikeeri ikijiri ikentsiki itsanoki charine paita nariacharira,aakiro aakedo oshiniiro pasaro kitaitakotaks maqamanaje irojati irosati yareetantapaaka nbireri abireri iñaapakio onara aakiro oshinkro isampitiri iqsari arlshi ikeeri ikkjiri ikentsili itsanoki charine paita nariacharira,aakiro axakero oshimkiro pasaro kitaitakotale mamanaje irojati irosati yareetantapaaka nabreri abirer iñaapakiro onarla aakigo oshkinkiro isampitiroi isari roshi keeri ikijiri ikwentsiki itsanoki charine paita nariacharira,akiro aakero oshnkiro pasao kitaitakotake maamanaje irojati irosatk yarweetantapaaka nabiredri abirei iñaapakiro onaria aakiro oshinkiro isampitiri isari aroshi ijeeri ikijjri ikemtsiki itsanoki charine paita nariacharira,aakiro aakerio oxhinkiro pasarlo kitaitwakotake maamanaje irojzti irosati yareeantapaaka nabirerj abireri iñaapakiro onaria azkiro oshnkiro isampititri isari aroshi ikeeeri kijiri ikentsiki itsanoki charine paita nariacharir,aakiro aakero ioshinkiro pasafro kitwaitakotake maamanxaje irojatui irosati yareetantapaaka naireri abireri iñaapakiro onwria aakidro oshinkirpo isampitiri isaei aroshi ikeeri ikjiri kentsiki itsanoki cyarine paia nariachariga
9,aakiro nija ankibantakiaro okipaye intaani antakero eirotsi aminkeero nija okiki ari ontaanakai katsirinii,aakiro nija ankibantakiaro okipajye intaai antakero eiotsi aminkeero nija okiki ai ontaanakai katsirinii,aakir nijw ankibantakiarño okipayd intaani antakero eirotsi ainkeero njja okiki ari ontaanakai katsirinii,aakiro nij ankibanakiaro okipaye intaani antakero eirotsi amineero nija okiki ari ontaanakai katsirinii,aakiro nija abkibantakiaro okipqaye intaani antakero eoirotsi aminkeero nija okiki aeri ontaanamkai katsirinii,aakifo ija ankibantakiaeo okipaye intazani antakefo eirotsi akminkeero nikja kokiki arki ontaanakai katsirinii
