,sentence,error_0,error_1,error_2,error_3,error_4
0,abanon,abanoon,banon,banon,zbanon,abanob
1,abanon bari riosen oinkin ixon,abxnon bwri ruosen oinkin ixon,abaanon bari riosen oihkin ixo,abanon bari rioswen oinin ixlon,aanon bari riosdn oinkin ixon,abannon bari riosen oinkin ixon
2,a b ch e w j k m n o p r s ramabicharibi shinanribikana iki wetsatian nawabaon makinabo pokobotanaibaon ishton wishatikoma iketian sh wishati tsosakan toan ati x ramakamanbi naton atibires akain nonwishaai iitai, b ch e w   m n l p tr s ramabicharbi shinanribikana iki wetsatian nawabaon mxkinabo pokobbotanaibaon ishfton wishatikoma iketiam sh wishati tsosakan toan ai x rxamakamanbi nwaton atibbires akain nonwishaai iiitai, b ch e w nj m m n  p r  ramabicharihi shinanribikana iki wetsatian naeabaon makinsabo pkobotanaibaon ishton wishatikoma iketian s wishxti tsosakan oan ai s ramakamanbi natob atibires kain nonwoishaai itai,wa b chh e  mj  jm n o p r s ramabicharibi shinanribikana ki wetsatian nawabaon makinzabo pokobotanaibaon ishgton wishatikoma iketian s wishati tsosakan toan wti x ramakamanbi naton atibires akain nonwiqhaai iitai,xa b h e w j k   lo   d ramabicharibi shinanribikana ii wetsatian nawaabaon makinabo pokobotanaibao shton wishahikoma oketian h wishati tsosakan toan xti zx rsmakamanbi naton atibirss alain nonwishai iitai,a b ch e w k i  n o l  x ramabicharibi shinanribikana iki wetswtian mawabaon maminabo pokbotanaibaon ishtn wishatikoma ikeyian snh wishati tsosakahn tpoan ati zx ramaamanbi naton atibires zakain nonwishaai iitai
3,abion paketa abion non jeman paketa namata riki non ochomakea kaibo mawa ointi,abilon paketa abion non jean paoketa namata riki noj ohomakea kaibo mawa kointi,abiñn paketa abion nkn jejan pakeha namagta riki non ochomake kaibo mawa oini,abion paketa abiñn no jeman psaketa namata riki non ochomaea kaibo mawa ointi,abion paketa abion non jwman paketa bnamata riii non ochomakewa kaoibo jmawa ointoi,abilon pakea abiion non jemah opaketa namat riki nn ochomakea kaibo mawa inti
4,aboaxbira ika iki eares kikin paxkinyoni itan piniti,aboaxbirxa ika iki ezares kilin paxkinyoni itan pinihi,aboasbira ia iki eares kikin paxjinyoni itam piniti,aoaxbira ika iki earess kijkin paxkinyoni itan piniti,aboaxbirza uika kiki eares kiin paxkinyoni itn piniti,aboaxbira ka ioki eatres kikin paxkinyoni ihtan piniti
5,abokoma,abokomxa,abookoma,aokoma,abokomwa,aokoma
6,abokomanra nepax piai,abokomana nepax piai,abokomanra nepa pai,abokomanra nrepax iai,abokomqnra nepax piai,abokomanra nepax piai
7,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi,aimara nonibaon ykoabo ganai aymara joniboanra moatianbi icha yoinabo kai akatiai ikadbira jaton banabo yamatani ika iki ijaxbi manan baman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon ichs tsekaokin jakon main banati onankana kopi,aimara jonibaon yoago banai aymara jonioanra moatianbi iicha yoinabo kai akatiai ikaxbira jaton banabo yamatami ika iki ikxbi manan naman banaiiboanra akai ivcha kokoti bimibo ita bero pjiti yoabo nanaxon idcha tsekaki jaon mai banzti omankana koñi,aimara jonibaon yoao banai aymara jonibonra mozatianbi ich yoinqabo kak akatliai ikaxbira jaton bajnabo yamatani ika ikji jkaxbi mznan aman banaiboanra aai icha kokoti bimibo itan berko piti yoabo banasxon ichxa tsekakin jsakon man banati obnankana kopi,aomara jonibaon yoabo baai ayara jonibownra moatianbi icha yoinabo kai amkatiai ikaxira jxaton banabko yamatani ika iki likaxbi manqn maman banaiboanra akai ichz kokoti bijibo itwan bero pitli yabo banaxon ich tsekakin jakon main banati onankana kopi,aimara jonibaon yoabo bajai aymqra jonibanra moatianbi ica yoinabo kai akaftiai ikaxbira jwton banao ymatani iia iki ikaxbi manan naman banaibanra amkai icha kokoti bimibo itan berro piti yoabo banaxon icha tsekain akon main banati onankana kopi
8,ainbaon bake chixana meran nanea,ainbaon bak chixan meran nqanea,ainbaon vbake chixana meran nanea,ainbaon gbake chixana mean nanez,ainbapon bakke chixaa mefan nanea,ainbaon bake chixana mersan naea
9,ainbaon jane,ainbaon ane,ainbaonn jan,ainbaoon ane,ainbwaon jane,ainbain jane
10,ainbaon koton pesenenai wetsa chopa chitaxnana,ainbaon koton pesenenai wetsa chopa chitaxnana,ainbaon koton pesenenai wetsq chopa chitaxnana,ainbao moton pesenenai wftsa chpa chitaxnana,aibbaon kton pesebnenai wetsa chpa chitaxnana,ainbaion koton pesenenai weetsa chopqa chitaxnana
11,ainbaon meraa riki tootax jakomai bakenti,inbaon keraa rki tootax jakmai akenti,ainbaon eraa riki tpootax jakomai bqakenti,ainbaon meraa riki ootax jzakomai bakentki,aimbaon meraa rik tootad jakomai bakenti,anbaon meraa riki tootax jakiomai bakenti
12,ainbaon neskara wastebaon jawen chitonti pokoai,ainbaon neskar watebaon jawsn chitonti pokoqi,ainbaon neskara wastebaon jawen chitonti pokoai,ainbaon neskara wastebaon jawen chitñnti pokoai,xinbaon neskaara wastebxaon jawen chitonti pokowi,anbaon neskara wastebaon hjawen chitonti pokoai
13,ainbaonra xane inkan isa pimai,anbaonra ane inkan isa pikai,ainaonra xajne inkan isa pimai,ainbaonra dane ihkan izsa pimai,ainbaonra xae inkan isa pimai,ainbaonra sxane inokan usa pimai
14,ainbaonribi jaska akatiai,ainbaonribi aska akatiqai,ainbaknribi jasa akatiai,ainbaobnribi jaska akatiai,ainbaonribi jask akatiai,ainbaonribi jaska akahtiai
15,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa,zainbaon aweaira ikatiaai mxanxaman boo mqxkobo itanibi wirizhchaa,ainbsaon aweaira kikatiai manxaman bo maxkobo itanribi wirishchaa,ainbaon saweaira ikatiai maxaman bo maxkobo itanribi wirishchaa,ainbaon saweaira ikatiai manxaman gboo mxxkobo tanribi wirishhaa,ainbaon saweaia iatiai manxaman bopo axkobo itanribi wirihchaa
16,ainbaon sawetibo ainbobaon saweti chopabora riki natobo,ainbaon sawetbo ainbohbaon saweti chopabora riki natobo,ainbaon sawetibo ainbobaon saaeti chopbora riki nayobo,ainbaon sawetoibo anbobaon swweti chopaora fiki nqatobo,ainbaaon saewetibo ainbobaon sweti chopabora riki hnatobo,ainbaon sawetlbo ainbobaon saweti chopabra rki natonbo
